threshold,miss_rate(FNR),overkill_rate(FPR),recall,precision,f1
0.18449780344963074,0.0,1.0,1.0,0.7590361445783133,0.8630136986301369
0.20114070542004645,0.0,0.95,1.0,0.7682926829268293,0.8689655172413793
0.21778360739046215,0.0,0.75,1.0,0.8076923076923077,0.8936170212765957
0.23442650936087783,0.0,0.5,1.0,0.863013698630137,0.9264705882352942
0.25106941133129357,0.0,0.45,1.0,0.875,0.9333333333333333
0.26771231330170925,0.0,0.3,1.0,0.9130434782608695,0.9545454545454545
0.28435521527212493,0.0,0.25,1.0,0.9264705882352942,0.9618320610687023
0.30099811724254066,0.0,0.1,1.0,0.9692307692307692,0.9843749999999999
0.31764101921295634,0.0,0.05,1.0,0.984375,0.9921259842519685
0.334283921183372,0.0,0.0,1.0,1.0,1.0
0.35092682315378776,0.0,0.0,1.0,1.0,1.0
0.36756972512420344,0.0,0.0,1.0,1.0,1.0
0.3842126270946191,0.0,0.0,1.0,1.0,1.0
0.40085552906503485,0.0,0.0,1.0,1.0,1.0
0.41749843103545053,0.0,0.0,1.0,1.0,1.0
0.4341413330058662,0.0,0.0,1.0,1.0,1.0
0.45078423497628195,0.0,0.0,1.0,1.0,1.0
0.46742713694669763,0.0,0.0,1.0,1.0,1.0
0.48407003891711337,0.0,0.0,1.0,1.0,1.0
0.500712940887529,0.015873015873015872,0.0,0.9841269841269842,1.0,0.992
0.5173558428579448,0.015873015873015872,0.0,0.9841269841269842,1.0,0.992
0.5339987448283605,0.031746031746031744,0.0,0.9682539682539683,1.0,0.9838709677419354
0.5506416467987761,0.031746031746031744,0.0,0.9682539682539683,1.0,0.9838709677419354
0.5672845487691919,0.047619047619047616,0.0,0.9523809523809523,1.0,0.975609756097561
0.5839274507396075,0.06349206349206349,0.0,0.9365079365079365,1.0,0.9672131147540983
0.6005703527100232,0.07936507936507936,0.0,0.9206349206349207,1.0,0.9586776859504132
0.617213254680439,0.1111111111111111,0.0,0.8888888888888888,1.0,0.9411764705882353
0.6338561566508547,0.1111111111111111,0.0,0.8888888888888888,1.0,0.9411764705882353
0.6504990586212703,0.1111111111111111,0.0,0.8888888888888888,1.0,0.9411764705882353
0.6671419605916861,0.14285714285714285,0.0,0.8571428571428572,1.0,0.9230769230769231
0.6837848625621017,0.14285714285714285,0.0,0.8571428571428572,1.0,0.9230769230769231
0.7004277645325174,0.14285714285714285,0.0,0.8571428571428572,1.0,0.9230769230769231
0.7170706665029332,0.15873015873015872,0.0,0.8412698412698413,1.0,0.9137931034482758
0.7337135684733489,0.1746031746031746,0.0,0.8253968253968254,1.0,0.9043478260869565
0.7503564704437645,0.19047619047619047,0.0,0.8095238095238095,1.0,0.8947368421052632
0.7669993724141803,0.19047619047619047,0.0,0.8095238095238095,1.0,0.8947368421052632
0.783642274384596,0.20634920634920634,0.0,0.7936507936507937,1.0,0.8849557522123894
0.8002851763550116,0.25396825396825395,0.0,0.746031746031746,1.0,0.8545454545454546
0.8169280783254274,0.2698412698412698,0.0,0.7301587301587302,1.0,0.8440366972477065
0.8335709802958431,0.30158730158730157,0.0,0.6984126984126984,1.0,0.822429906542056
0.8502138822662588,0.31746031746031744,0.0,0.6825396825396826,1.0,0.8113207547169812
0.8668567842366744,0.3492063492063492,0.0,0.6507936507936508,1.0,0.7884615384615385
0.8834996862070902,0.4126984126984127,0.0,0.5873015873015873,1.0,0.74
0.9001425881775059,0.49206349206349204,0.0,0.5079365079365079,1.0,0.6736842105263158
0.9167854901479215,0.5396825396825397,0.0,0.46031746031746035,1.0,0.6304347826086957
0.9334283921183373,0.6031746031746031,0.0,0.39682539682539686,1.0,0.5681818181818182
0.950071294088753,0.6507936507936508,0.0,0.3492063492063492,1.0,0.5176470588235293
0.9667141960591686,0.6984126984126984,0.0,0.3015873015873016,1.0,0.4634146341463415
0.9833570980295844,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3636363636363636
1.0,0.8571428571428571,0.0,0.1428571428571429,1.0,0.2500000000000001
